Movie_name,Collection_name
Movie_name,Collection_name
Movie_name,Collection_name
Movie_name,Collection_name
Fight Club,
Fight Club,
Movie_name,Collection_name
Fight Club,
Fight Club,
Movie_name,Collection_name
Fight Club,
Fight Club,
Movie_name,Collection_name
Fight Club,
Fight Club,
Movie_name,Collection_name
Fight Club,
Fight Club,
Movie_name,Collection_name
Fight Club,
Movie_name,Collection_name
Apocalypse Now,
Movie_name,Collection_name
Movie_name,Collection_name
Movie_name,Collection_name
Movie_name,Collection_name
